uri,code,name
https://edmo.seadatanet.org/report/1204,1204,P&O Maritime Services (Ireland)
https://edmo.seadatanet.org/report/1205,1205,Israel Electric Company
https://edmo.seadatanet.org/report/1206,1206,"CNR, Istituto di Studi sui Sistemi Intelligenti per l'Automazione (Sezione di Genova)"
https://edmo.seadatanet.org/report/1207,1207,"ARPA Veneto, Osservatorio Regionale Acque"
https://edmo.seadatanet.org/report/1208,1208,"ARPA Emilia-Romagna, Servizio Meteorologico Regionale"
https://edmo.seadatanet.org/report/1209,1209,"CNR, Istituto di Scienze Marine (Sezione di Venezia, ex ISDGM)"
https://edmo.seadatanet.org/report/121,121,"Universita' di Venezia, Dipartimento di Scienze Ambientali, Sezione Geo-Mineralogica"
https://edmo.seadatanet.org/report/1210,1210,"Italian Ministry of Environment, Sea Protection Service "
https://edmo.seadatanet.org/report/1211,1211,ARPA Lazio
https://edmo.seadatanet.org/report/1212,1212,Norwegian Meteorological Institute
https://edmo.seadatanet.org/report/1213,1213,Swedish Coast Guard
https://edmo.seadatanet.org/report/1214,1214,TT Line
https://edmo.seadatanet.org/report/1215,1215,Swedish Maritime Administration
https://edmo.seadatanet.org/report/1216,1216,AS Tallink Grupp
https://edmo.seadatanet.org/report/1217,1217,Swedish Armed Forces
https://edmo.seadatanet.org/report/1218,1218,Stena Line
https://edmo.seadatanet.org/report/122,122,"ENEL SPA, Centro Ricerca Idraulica e Strutturale, Servizio Idrologico"
https://edmo.seadatanet.org/report/1224,1224,"National Aeronautics and Space Administration, Jet Propulsion Laboratory "
https://edmo.seadatanet.org/report/1225,1225,"National Aeronautics and Space Administration, Goddard Space Flight Center"
https://edmo.seadatanet.org/report/1226,1226,"National Oceanic and Atmospheric Administration, National Environmental Satellite, Data, and Information Service"
https://edmo.seadatanet.org/report/1228,1228,"Polytechnic University of Tirana, Institute of GeoSciences, Energy, Water and Environment"
https://edmo.seadatanet.org/report/1229,1229,"National Institute of Biology, Marine Biology Station"
https://edmo.seadatanet.org/report/123,123,"CNR, Istituto di Ricerca sulle Acque"
https://edmo.seadatanet.org/report/1230,1230,National Center for Marines Sciences
https://edmo.seadatanet.org/report/1231,1231,Ecole Nationale Superieure des Sciences de la Mer et de l Amenagement du Littoral
https://edmo.seadatanet.org/report/1232,1232,Institut National des Sciences et Technologies de la Mer
https://edmo.seadatanet.org/report/1233,1233,Collecte Localisation Satellites SA
https://edmo.seadatanet.org/report/1235,1235,Shell International Exploration & Production BV
https://edmo.seadatanet.org/report/1236,1236,Total SA
